Pair,Distance,Num zero-crossings,Pearson r,Spread mean,Spread SD,Hurst Exponent,Half-life of mean reversion,Hedge ratio
NX-SYNA,1.8034487883087482,52.0,0.35996550956880885,0.7562738444700473,0.06567773112796374,0.3849772358801526,16.89590652355773,0.07922757864317553
NX-MAN,1.8149112358435615,42.0,0.3442025983579587,0.689583718510668,0.06609516884626229,0.3922219384154512,17.427355665721514,0.13142489285464842
NX-AYI,1.6624392514757012,46.0,0.5102634789062472,0.7287139898669174,0.06054246667984786,0.38086694102895174,14.077674154549733,0.10140815665217229
NX-SON,1.8164820298508386,44.0,0.341977865783403,0.6231815003729493,0.06615237378999905,0.39749008626798304,17.630215318748775,0.20201768297148126
NX-HBI,1.780875594701816,46.0,0.38888103744370894,0.7611233807999606,0.06485566390319605,0.3861481155432736,16.072239368849313,0.07016059053626267
NX-AAL,1.7408295582286795,44.0,0.43470845429957417,0.7610794818734574,0.06339727327227068,0.3836262911696306,15.542671141323654,0.06975678632547933
NX-SRCL,1.8375535899765425,44.0,0.31039150822539824,0.63005960957146,0.0669197547488343,0.3937113461555062,17.767578777858798,0.21123072982256774
NX-LNC,1.8094396376248347,38.0,0.3518276009385485,0.7055420599067813,0.06589590499192967,0.3855647690900994,17.47588270600437,0.11958126752841935
NX-LEG,1.74300571775118,54.0,0.4323684623714842,0.6947131042386823,0.06347652432776879,0.39319433176451796,16.52064385449225,0.14883863236978967
NX-SMG,1.706003605713824,40.0,0.47020922936329035,0.6163449305467666,0.06212898688655581,0.3902492159758407,15.272186901450167,0.21113987955034497
NX-FFIV,1.5979798717528055,62.0,0.5626843912660185,0.6488082133183819,0.05819499452673738,0.3473171964478972,15.117712119406747,0.22507145258703354
NX-VAC,1.674575811114907,52.0,0.4995298916850905,0.6985645615212656,0.06098445411302017,0.381703942262584,15.45859928722785,0.148563603479126
NX-PRI,1.8029172850955444,42.0,0.36067734444488453,0.6632008863076171,0.06565837492258833,0.38518094553588833,17.833028144498613,0.16860047116807086
NX-THO,1.7851011575142792,42.0,0.3836611092250193,0.6584729929111636,0.06500954982447117,0.3893646027414011,17.006255236370997,0.17105482036464004
NX-ACHC,1.7250852864556823,48.0,0.45119306379742613,0.7202714432470532,0.06282390071241976,0.3847844461244739,15.048234309185291,0.09933676496995103
NX-PACB,1.7349441700051018,40.0,0.4409603307519402,0.7395320551213296,0.06318294007476728,0.37047085302202476,14.640492295201335,0.07502587337783179
NX-FL,1.70714702903081,52.0,0.46909729589041144,0.7213050523249718,0.06217062790772887,0.3747361454864072,15.090814746607444,0.12025100527787402
NX-HELE,1.6439998551551442,50.0,0.5260089953121814,0.7151891528722218,0.05987094347300415,0.3826596146524634,14.028967551453782,0.10857728329885952
NX-UHAL,1.775627043801819,54.0,0.39525187467438166,0.7449967946977901,0.06466452295311417,0.3892277230994383,16.172806029525326,0.08838327423726677
NX-GPK,1.7570851405402688,44.0,0.4168383592984536,0.7141026088223108,0.0639892666636606,0.384109589311244,16.204348485977995,0.11803194158424701
NX-ASH,1.7263783874676737,48.0,0.4498674853737839,0.643089004899292,0.06287099267374276,0.3951782494861429,16.699285734351257,0.2022257602487949
NX-MHK,1.7116929017469034,48.0,0.4646428503784893,0.6591013564472655,0.06233617882768018,0.39427842175313366,15.685100043141732,0.16015878423865204
NX-DEI,1.8056635625314486,44.0,0.3569817329476321,0.618749770990948,0.06575838844790022,0.3957703950117692,17.506385221372206,0.23315907989000895
NX-PRGO,1.7595478886095703,46.0,0.4140488448781489,0.6529091472955766,0.06407895465845154,0.3923567849617805,16.330372965586136,0.18123207224790128
NX-NYCB,1.7166704117365035,42.0,0.45970214989810826,0.5950959188682409,0.06251744904999137,0.3812400299769529,15.764190251735105,0.23396476232767327
NX-IDA,1.7576932671915246,50.0,0.416151645395636,0.6300323273270166,0.06401141333006552,0.3849760372690356,15.949323739246875,0.2012084498756994
NX-SNX,1.7481085587419598,36.0,0.4268195028214528,0.7201441969473821,0.06366235883593667,0.37858496198711344,15.745176117590727,0.10752667031963181
NX-OZK,1.7236651968513315,40.0,0.4526432086982242,0.7181177442516031,0.06277218409933005,0.38129359820949305,15.265853792907505,0.10642210902373495
NX-MIDD,1.6682570659165077,44.0,0.5051563962596664,0.6823213358033084,0.060754338985328726,0.3797377211154874,14.211333284020023,0.12687727505213553
NX-GBCI,1.855173800276538,40.0,0.2809440378970007,0.723246819327394,0.06756144496039095,0.3878659618886021,18.360027121330727,0.10860809437118202
NX-ADC,1.7943096710040474,38.0,0.3719875087019091,0.5440801659080254,0.06534490410621731,0.392497583341733,16.920064240968102,0.2883013285494864
NX-LAZ,1.693013854250722,52.0,0.48261052689548883,0.649143400550842,0.0616559280397821,0.3772638278937861,15.652243819089561,0.1753013031851256
NX-SIGI,1.8276787643807058,48.0,0.3256211206087012,0.6900872969336905,0.06656013481139933,0.39673405212391366,18.042107885704603,0.1554021780367152
NX-CW,1.6918029655570377,44.0,0.48374560522204785,0.6987792273922803,0.06161183007450303,0.36989579012801294,15.16502365101881,0.1264653541734524
NX-PACW,1.722766911296676,46.0,0.4535574974794567,0.6585757066383929,0.06273947046891412,0.3777188327541405,15.617848951331652,0.16191468881125815
NX-LAMR,1.7192151310120076,38.0,0.4571500193009544,0.574742177432958,0.06261012226004108,0.40752122190600265,15.318837394647014,0.24350520554736743
NX-CF,1.5815356602020585,52.0,0.574983738357817,0.6209261261214897,0.05759613166362599,0.3486039140650209,13.948220594301176,0.22816350687309206
NX-EVR,1.8027665445601886,48.0,0.3608789354398317,0.6339454789025775,0.0656528852760759,0.3948193790182774,17.595665128073726,0.17587625146976693
NX-SLG,1.788102223006309,40.0,0.37990263519412854,0.660414426789069,0.06511884218351169,0.3899735088113361,17.0277917323561,0.17606069640998534
NX-HRC,1.7406165977182195,46.0,0.4349366147505702,0.6494664980070907,0.06338951770791108,0.3895517865451789,15.799324208146574,0.1780067603923452
NX-CRUS,1.7520892824608985,54.0,0.4224287030324052,0.7821508565283524,0.06380732824333095,0.37535081817002147,16.898730493455968,0.1345897054835017
NX-LEA,1.7776398673743903,52.0,0.3928230864091303,0.7229622533726481,0.06473782566415562,0.3838186612724699,16.218967701307808,0.10388897132419017
NX-JBLU,1.7285441295656814,44.0,0.4476363167345588,0.7851330916857729,0.06294986434901713,0.3816961632546566,15.479031161667356,0.06397719566335247
NX-HIW,1.8270181598333597,44.0,0.3266117561014032,0.6451140088372763,0.06653607701273948,0.3991521999062784,17.948740360558563,0.19942531644688977
NX-JNPR,1.6254105587963614,44.0,0.5412490525467428,0.6099383006760388,0.059193961228748045,0.3463934329278678,13.8813418069707,0.24502272035615125
NX-UBSI,1.6996494190238427,44.0,0.4763277499755857,0.6508554959827024,0.061897581055868005,0.37525751945715563,15.615382816193168,0.18656144104727868
NX-RLI,1.7477035367645528,40.0,0.42726316295568467,0.6781190130370353,0.06364760880549192,0.38807361607330143,15.816414806310814,0.15139176102482632
NX-GRA,1.7579225367174762,48.0,0.4158923916306097,0.5223639754060269,0.06401976283373809,0.39262883038841306,16.854589849949637,0.29035000261570065
NX-POR,1.7979217654648716,56.0,0.3672903051687572,0.6313360305736107,0.0654764488278333,0.3927132395107428,17.12871536345419,0.21286070798528467
NX-THG,1.7839051073144399,38.0,0.38514705299796714,0.6963554872225522,0.06496599224526518,0.3925361416509972,16.427712487732464,0.13093804391141406
NX-WAL,1.7348132480362612,40.0,0.4410981588933756,0.7138863364568828,0.06317817217787774,0.3852639738632181,15.33068968957841,0.10291477063419052
NX-HE,1.7641678063792805,58.0,0.40875388067546525,0.633324570463785,0.06424720214020949,0.3832975843601917,16.831235114249168,0.2279700271843348
NX-UFPI,1.6617711220544733,42.0,0.5108455829416926,0.654430590898431,0.06051813484144438,0.35951509271839877,15.736222239012674,0.196030001539935
NX-STL,1.691535877137391,42.0,0.483995504502922,0.658119621210799,0.06160210328795559,0.3759052275530502,15.346075446101702,0.17991465965504627
NX-UAA,1.7276630002707405,52.0,0.4485457415504116,0.7587714169208515,0.06291777551272895,0.38619143888925966,15.302662497552104,0.07480139457732438
NX-PNW,1.8436325084418361,54.0,0.30058961556565184,0.6472119332822754,0.06714113590204512,0.3947563994272847,17.945253427313638,0.20816363410847671
NX-UMPQ,1.7972714683426367,42.0,0.3681410818002843,0.633149184626702,0.06545276640345603,0.39583221242271704,17.77868303715411,0.19439089085638916
NX-TAP,1.8169103740346768,42.0,0.34136834568484886,0.7408430210180859,0.06616797316510678,0.38768112233936697,16.95337942694905,0.10427870119702076
NX-CRI,1.7499074616256147,42.0,0.42484214135306103,0.653429243016865,0.0637278710149815,0.3814394822941411,15.759210845625693,0.17876412890534166
NX-WTFC,1.6691463522954433,36.0,0.5043696105217098,0.539063529213531,0.06078672488509486,0.37362891295832157,15.480605589799033,0.3014728658248491
NX-PNM,1.8035126869210663,46.0,0.35987982208668035,0.6359635363755216,0.0656800581781725,0.39649495469348617,17.01603214366821,0.20551649915686143
NX-XPO,1.7047062644606545,48.0,0.47146676745556987,0.7404199311491901,0.06208174050475712,0.3818747909775952,15.67919546567751,0.10035739513702513
NX-KMPR,1.7102704389878516,44.0,0.46604255693489255,0.4246114307091527,0.062284375789393644,0.38466306843493386,16.191420655748278,0.38679724857553444
NX-SPR,1.7567222822474962,42.0,0.41724745782559114,0.7573421415447156,0.06397605214404427,0.38498870753217895,16.06961299558564,0.08221089903891676
NX-WEN,1.7462325897084627,48.0,0.42886971378752886,0.6849301676103584,0.06359404007324974,0.387379499627902,15.300954124369927,0.12885712864505483
