,BRK.B,JPM,BAC,WFC,MS,C,GS,BLK,SCHW,SPGI,AXP,PNC,MMC,TFC,CB,XLF,SPY
2019-11-04,217.98,121.258705396,30.9371996776,49.5525613014,46.3251284506,69.9918936577,210.912092154,454.631214642,41.8331507875,251.682583334,116.176145748,140.162946717,99.4265496368,50.2583385155,141.339655321,28.1020282875,28.1020282875
2019-11-05,220.88,121.522270351,31.3382374512,50.0977146693,46.2492322746,69.6938576501,209.732204615,460.269622462,42.0267331605,246.626153186,115.350617208,141.115991218,98.468011472,50.9485738915,142.401712032,28.2072793298,28.2072793298
2019-11-06,222.0,121.710531033,31.3095918959,50.5676744692,46.0689788565,69.3119990154,209.521167819,467.043344209,41.6976431265,248.786181599,116.244130451,141.751354219,100.162397117,50.8473393697,145.607018323,28.3508034783,28.3508034783
2019-11-07,222.74,122.369443421,31.7297267064,51.2350173851,46.1638490765,70.6065929234,214.192755069,467.634852305,42.2687111266,250.946210011,117.788354425,143.022080221,99.910659821,50.7829174013,146.315056131,28.5613055629,28.5613055629
2019-11-08,221.31,122.727138717,31.7583722616,51.3298970469,46.6287131548,70.8953153057,213.828236968,467.682554571,42.307578907,250.661478993,117.972884334,142.209189322,100.026846265,50.9777723739,144.965957065,28.5517372863,28.5517372863
2019-11-11,220.85,122.294139148,31.6819841143,51.282457216,46.5717910227,70.4110067934,210.106315298,464.419719589,42.0063536093,250.435657841,117.419294607,142.452122235,100.123668302,50.3746498395,144.784163574,28.4751910738,28.4751910738
2019-11-12,220.89,121.578748555,31.5960474485,51.4437526411,46.4958948467,69.9173846558,211.430091562,464.419719589,42.2492772364,250.494567707,117.409582507,142.302625058,100.840151375,50.5138319628,144.860708202,28.51346418,28.51346418
2019-11-13,219.77,120.938662236,31.3095918959,50.5613717861,45.9076994824,68.8370041283,210.384500165,463.255784303,41.5982419156,253.921158234,116.797720177,140.919776174,101.653456484,50.4488803053,145.731403343,28.3316669252,28.3316669252
2019-11-14,219.36,121.051618645,31.2236552301,50.7511311098,46.1164139665,68.7718087517,210.490018563,462.320819893,42.1521077856,255.276085148,117.448430909,139.237932936,101.992333613,50.6622928944,144.812867809,28.3890765846,28.3890765846
2019-11-15,219.74,121.927030817,31.4432711538,51.0452580614,46.4769208027,69.2933717649,211.276610256,468.398088558,43.094651459,258.113577017,117.283325201,140.957150468,102.147248872,50.6715717026,144.755459338,28.4656227972,28.4656227972
2019-11-18,219.35,122.953051535,31.471916709,51.2350173851,46.5148688907,69.2933717649,210.777796011,469.142243905,42.9294633925,259.281956023,116.21499415,141.751354219,102.863731945,51.0427240315,146.219375346,28.5230324566,28.5230324566
2019-11-19,219.03,122.915399399,31.4528196722,51.2634812836,46.7994795508,69.6845440249,211.075166042,470.15353194,43.1432361844,263.003095879,116.545205565,141.760697792,103.773859091,50.7458021684,146.228943424,28.580442116,28.580442116
2019-11-20,217.48,122.021161158,31.2141067117,50.7985709407,46.5812780447,68.8370041283,209.031946156,466.346891128,43.4833292624,263.228917031,115.865358533,141.816759234,103.754494684,50.4859955382,145.922764913,28.446486244,28.446486244
2019-11-21,216.63,122.303552182,31.357334488,50.8175468731,46.3346154726,68.8276905031,209.338908768,462.692897566,46.6704872508,259.586323663,115.37975351,141.732667072,103.715765869,50.272582949,143.492472979,28.4177814143,28.4177814143
2019-11-22,217.96,123.113073115,31.6819841143,51.5006804382,46.7235833748,69.7311121511,211.305388001,462.711978472,46.8356753173,260.391425162,115.632268122,142.816521603,104.500024367,50.7272445519,144.602370083,28.6282834989,28.6282834989
2019-11-25,219.06,123.771985503,31.9588911484,51.4342646749,47.3971619372,70.4855157953,213.674755662,469.256729343,47.9142562219,261.579440789,117.127931593,143.330418148,104.567799793,51.2190213877,143.492472979,28.8100807537,28.8100807537
2019-11-26,218.9,123.941420117,31.8443089274,51.0547460276,46.8753757269,70.2806160401,213.386978213,468.331305386,47.8462376063,262.612573807,116.341251456,142.853895897,104.74207946,50.5045531546,145.214727105,28.781375924,28.781375924
2019-11-27,220.5,124.308528447,31.9111485563,51.5576082353,47.2263955411,70.5227702963,213.866607294,471.498735837,48.4292543115,261.235063116,116.865704881,143.227638839,104.906676922,50.9592147575,145.511337538,28.8961952429,28.8961952429
2019-11-29,220.3,124.026137424,31.8156633721,51.6714638295,46.9417848809,69.963952782,213.530866937,472.166567558,48.0988781786,260.39871734,116.661750771,143.15289025,104.635575219,50.7736385931,144.937252829,28.84835386,28.84835386
2019-12-02,220.33,123.753159435,31.9206970747,50.8744746701,46.5623040007,69.4051352678,209.951921754,467.195991459,48.1668967942,257.978234269,113.884090038,142.003630705,103.531803999,50.4859955382,143.310679488,28.6665566052,28.6665566052
2019-12-03,218.08,122.16235667,31.357334488,49.8877261872,45.6420628662,68.2968138646,204.742675395,463.437052913,47.2826547913,259.759158805,113.213955106,139.910670231,102.660405667,49.3725385515,142.927956348,28.2646889892,28.2646889892
2019-12-04,218.4,124.572093402,31.653338559,50.5139319552,46.3346154726,69.1350401359,208.311973826,464.324315057,47.6421817595,264.147514291,114.54451287,141.414985571,103.715765869,49.4653266337,144.535393533,28.5326007332,28.5326007332
2019-12-05,219.6,125.249831858,31.76792078,50.504443989,46.5528169787,69.5820941473,209.469584128,470.916768194,47.360390352,267.17803781,114.874724286,142.209189322,103.957820961,49.6323451817,143.79865149,28.6665566052,28.6665566052
2019-12-06,222.61,127.113612612,32.3247474362,51.5860721338,47.2453695851,70.6065929234,216.675708258,476.160915765,47.5644461988,269.97241664,117.137643694,143.713504663,104.809854885,50.3282557984,145.62615448,29.049287668,29.049287668
2019-12-09,221.38,126.520591463,32.1711400828,51.1591136556,47.055629145,70.159538912,213.974617553,477.419126996,47.5644461988,267.689684638,116.991962187,143.610725354,104.896994719,50.7736385931,146.391600759,28.982309732,28.982309732
2019-12-10,221.26,126.60530877,32.1903410019,50.9408904334,47.122038299,70.5786520477,214.042144821,474.499308568,47.7976528809,267.296110155,117.419294607,145.386004327,105.245554051,51.144790922,146.353328445,28.9918780086,28.9918780086
2019-12-11,222.57,126.304091678,32.2959460574,50.4475161919,46.9133238149,70.3644386672,213.376518897,474.384052577,48.1960476294,267.778238897,117.166779995,144.825389914,105.506973551,49.8086425379,145.406088675,28.9249000726,28.9249000726
2019-12-12,225.92,129.918696776,33.2943938547,51.5765841676,48.0897145435,71.7614824528,218.06484062,482.269483266,49.6244385571,265.948117551,119.109200088,148.562819332,106.775342233,52.0355565113,147.042230095,29.4894283902,29.4894283902
2019-12-13,225.37,128.779719649,33.0639828245,51.0357700952,47.6627985533,71.1467831872,217.051931606,478.898245542,48.5361407074,266.8434995,121.129316984,148.226450684,107.027079529,51.979883662,147.960765629,29.384177348,29.384177348
2019-12-16,226.85,129.278610457,33.3135947739,51.4437526411,48.1181756095,71.6310916995,219.98454437,482.202250605,48.3126509705,268.230849552,120.119258536,148.562819332,108.101804138,52.1654598264,148.812324614,29.4894283902,29.4894283902
2019-12-17,227.05,130.069305322,33.6400103999,51.5576082353,48.2889420056,72.4041225942,222.984684403,482.432762586,48.0891612335,267.197716534,121.352695295,149.833545333,108.489092286,52.5830061964,149.453385872,29.6042477091,29.6042477091
2019-12-18,225.01,129.937522844,33.707213617,50.9219145011,48.0612534775,72.5717678484,222.309411727,479.743456139,47.2826547913,265.121611136,120.682560363,149.543894554,107.985617694,52.2582479086,147.932061394,29.4798601137,29.4798601137
