,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
LANC-WWW,158.02338939518313,161.19157905586758,161.14717787397353,1.5656645626983776,0.2415155382708393,0.9720917449991547,0.23663474871191303,0.1110291429521067,0.821640618705307
LANC-BC,1481.763828323491,1487.2310863448695,1490.2649780530974,-8.272212055532902,0.37176701832385156,0.989686766721917,0.41663155472701546,0.287790334349366,0.6781122774439405
LANC-MTG,,,,,,,,,
LANC-SWN,2416.061571292937,2416.9341068395333,2416.5131402716156,23.299243574991777,0.4573120699456145,0.9616376161643656,0.6820833324967346,0.4233360613166928,0.7257844403866844
LANC-JWN,1634.5462221627658,1645.0593907534164,1646.4387630215972,-1.0319967461931654,0.46180371903291734,0.9709959367485718,0.4467007021001548,0.31618143550369704,0.6694621362558782
LANC-SRCL,,,,,,,,,
LANC-BCO,,,,,,,,,
LANC-CMP,2210.4682447281334,2212.939037907664,2211.2594793878943,17.495537839051565,0.5555843652960988,0.8805223761937345,0.510328732898292,0.5147503078270782,0.5110841536438371
LANC-TOL,1437.842516629336,1439.3788127124942,1440.2708283896882,7.409993203160322,0.270597809672785,0.952106874722148,0.3763821994455202,0.3198416576057566,0.5865681245761106
LANC-HNI,,,,,,,,,
LANC-MIC,,,,,,,,,
LANC-CORE,,,,,,,,,
LANC-PRGO,,,,,,,,,
LANC-WEN,-2412.3457529468806,-2400.8313671741657,-2407.431888664162,1.94569850453573,0.0396297949348581,0.976643305955554,0.07277530976558494,0.0027770927128664322,0.9985629020491926
LANC-TGNA,,,,,,,,,
LANC-MAC,,,,,,,,,
LANC-CACI,2361.2514383022312,2364.610691378714,2362.002130028255,21.804136802547582,0.6699514064602767,0.9898197824952326,0.7731845849304927,-0.11230600146033089,0.9794410186374154
LANC-EBIX,,,,,,,,,
LANC-RGR,,,,,,,,,
LANC-LAZ,,,,,,,,,
LANC-SFNC,,,,,,,,,
LANC-HLX,,,,,,,,,
LANC-AUB,,,,,,,,,
LANC-FUL,,,,,,,,,
LANC-TILE,,,,,,,,,
LANC-WNC,,,,,,,,,
ON-GCO,,,,,,,,,
ON-CRS,,,,,,,,,
ON-SCHN,2381.1059878710503,2381.5693661768123,2378.7807661677484,22.162368852459714,2.155047300220383,0.9442795113797456,0.6751529675911697,0.40604466108057796,0.739853634498921
ON-AMG,,,,,,,,,
ON-LANC,,,,,,,,,
ON-SLG,,,,,,,,,
ON-SWM,,,,,,,,,
ON-TCBI,,,,,,,,,
ON-PNW,,,,,,,,,
ON-NWBI,-2029.473927311569,-2029.8023802297212,-2044.5930465967572,3.2573320399288916,0.18576897196071773,0.8137597884319401,0.07118370765324482,0.05042877955030905,0.6872188644544998
ON-NJR,,,,,,,,,
ON-GFF,-232.853405009948,-227.16112449489333,-227.47951742962664,3.4550626178687587,0.5224151203391458,0.954776177043972,0.17677143246337554,0.12314204339821894,0.6782867616838255
ON-KOP,,,,,,,,,
ON-JNPR,,,,,,,,,
ON-HA,,,,,,,,,
ON-CVI,,,,,,,,,
ON-ISBC,,,,,,,,,
ON-NXGN,,,,,,,,,
ON-ASTE,1835.1099051827255,1842.1284095218614,1834.321725992294,13.76213518839043,1.6683392692347607,0.9577203315998919,0.5801980964406341,0.15637047067104345,0.9336185099769541
ON-NYT,-75.30125992397393,-70.30439265132213,-67.6791660618718,1.511007227657951,0.508013643658816,0.9932036107005426,0.22021472637805797,0.07691839534636623,0.8915932874608922
ON-UNM,,,,,,,,,
ON-ABG,,,,,,,,,
ON-SPWR,,,,,,,,,
ON-SYNA,,,,,,,,,
ON-GIC,,,,,,,,,
ON-MDC,,,,,,,,,
ON-AMKR,,,,,,,,,
ON-SKYW,,,,,,,,,
ON-NSIT,,,,,,,,,
ON-RUSHA,-21.737429238703157,-21.17197335335618,-19.129938194729903,3.0586929545890484,0.6488829524517612,0.9766953885112025,0.1922748102555536,0.14189553710051916,0.6500797473810367
ON-BECN,,,,,,,,,
ON-FHN,-975.4635759518992,-970.600136856597,-969.2577453089041,3.38368967418501,0.32695666109912763,0.9553279154953667,0.11182556593870224,0.09839352462040292,0.569183271268559
ON-PFS,,,,,,,,,
ON-ENR,,,,,,,,,
ON-RLI,,,,,,,,,
ON-ACM,,,,,,,,,
ON-DBD,,,,,,,,,
ON-SNV,1337.8953171557162,1341.3517840872196,1342.4942114215228,10.70459906881527,0.7438347533643268,0.980202343160808,0.41723072132299727,0.21740206740993145,0.7881366326976696
ON-UFCS,,,,,,,,,
ON-SBGI,,,,,,,,,
ON-WW,,,,,,,,,
ON-SLM,-1955.3369660547414,-1955.0914487098419,-1972.8703917565704,1.4986533277945566,0.22631733058880352,0.6149151394389882,0.062071307089592354,0.0657289183640736,0.5248182063570469
ON-GBX,1393.6068150982805,1397.518425220946,1398.7484730300027,-2.3934105646367785,1.2010768825338909,0.9787745981292858,0.42269131662962994,0.23541483047254846,0.7651734455269503
ON-KNX,2080.9440352862503,2108.940133232072,1991.0008554848105,12.861184678935203,0.8216069902371688,0.5020982660541821,0.5958630541562642,0.2587400709405098,0.8759536612544635
ON-CLB,,,,,,,,,
ON-EQT,,,,,,,,,
ON-ALE,,,,,,,,,
ON-APOG,,,,,,,,,
ON-WABC,,,,,,,,,
ON-QRTEA,,,,,,,,,
ON-SSB,,,,,,,,,
ON-UHAL,,,,,,,,,
ON-HRI,,,,,,,,,
ON-KALU,,,,,,,,,
ON-AZZ,,,,,,,,,
ON-CBSH,,,,,,,,,
ON-FSLR,,,,,,,,,
ON-SPR,,,,,,,,,
ON-KMPR,,,,,,,,,
ON-THO,,,,,,,,,
ON-ACHC,,,,,,,,,
ON-M,,,,,,,,,
ON-USM,,,,,,,,,
ON-LTC,,,,,,,,,
ON-SAFT,,,,,,,,,
ON-CMC,60.59751308505054,70.27176570265851,60.74359180097258,6.633927720437878,0.660586114701249,0.9419745421076982,0.23486318562768504,0.08165080051499611,0.8949700761154704
ON-MLI,385.641747495388,385.21005543142724,384.548522397698,3.416615395474235,0.7015478333359487,0.934596780475774,0.22634393504997516,0.18466158339794841,0.6083328650261799
ON-XRX,,,,,,,,,
ON-INT,1927.7545977609334,1930.2374193128735,1925.1690457833897,7.958074131118826,1.5628622941064905,0.9256773180577244,0.5369150877913533,0.3270547745855054,0.7367790024622304
ON-NHI,,,,,,,,,
ON-RCII,,,,,,,,,
ON-DEI,,,,,,,,,
ON-SCL,,,,,,,,,
ON-WWW,,,,,,,,,
ON-BC,,,,,,,,,
ON-MTG,,,,,,,,,
ON-SWN,2340.6853760396853,2345.96387098117,2344.0402160147787,25.56985461792503,1.8093866198790447,0.9834115783996833,0.764476013680272,0.12325021083642371,0.9748708641504052
ON-JWN,,,,,,,,,
ON-SRCL,,,,,,,,,
ON-BCO,,,,,,,,,
ON-CMP,,,,,,,,,
ON-TOL,,,,,,,,,
ON-HNI,,,,,,,,,
ON-MIC,,,,,,,,,
ON-CORE,,,,,,,,,
ON-PRGO,,,,,,,,,
ON-WEN,,,,,,,,,
ON-TGNA,,,,,,,,,
ON-MAC,,,,,,,,,
ON-CACI,2445.1048606802324,2449.011540651476,2447.336265957246,31.106774244876895,1.7815786127410835,0.9737076809370816,0.769795862526994,0.2682103437548168,0.8930175080854583
ON-EBIX,,,,,,,,,
ON-RGR,,,,,,,,,
ON-LAZ,,,,,,,,,
ON-SFNC,,,,,,,,,
ON-HLX,,,,,,,,,
ON-AUB,,,,,,,,,
ON-FUL,,,,,,,,,
ON-TILE,,,,,,,,,
ON-WNC,,,,,,,,,
SLG-GCO,,,,,,,,,
SLG-CRS,,,,,,,,,
SLG-SCHN,,,,,,,,,
SLG-AMG,,,,,,,,,
SLG-LANC,,,,,,,,,
SLG-ON,,,,,,,,,
SLG-SWM,,,,,,,,,
SLG-TCBI,,,,,,,,,
SLG-PNW,,,,,,,,,
SLG-NWBI,-2248.906242804209,-2234.9422276982905,-2244.99368963689,3.7220482256161285,0.052053484753384206,0.8176405985474963,0.06118982360136808,0.04990202225117328,0.623268959107766
SLG-NJR,,,,,,,,,
SLG-GFF,,,,,,,,,
SLG-KOP,,,,,,,,,
SLG-JNPR,,,,,,,,,
SLG-HA,,,,,,,,,
SLG-CVI,,,,,,,,,
SLG-ISBC,,,,,,,,,
SLG-NXGN,,,,,,,,,
SLG-ASTE,,,,,,,,,
SLG-NYT,,,,,,,,,
SLG-UNM,,,,,,,,,
SLG-ABG,,,,,,,,,
SLG-SPWR,,,,,,,,,
SLG-SYNA,,,,,,,,,
SLG-GIC,,,,,,,,,
SLG-MDC,,,,,,,,,
SLG-AMKR,,,,,,,,,
SLG-SKYW,,,,,,,,,
SLG-NSIT,,,,,,,,,
SLG-RUSHA,,,,,,,,,
SLG-BECN,,,,,,,,,
SLG-FHN,,,,,,,,,
SLG-PFS,,,,,,,,,
SLG-ENR,,,,,,,,,
SLG-RLI,,,,,,,,,
SLG-ACM,,,,,,,,,
SLG-DBD,,,,,,,,,
SLG-SNV,,,,,,,,,
SLG-UFCS,,,,,,,,,
SLG-SBGI,,,,,,,,,
SLG-WW,,,,,,,,,
SLG-SLM,,,,,,,,,
SLG-GBX,1302.6226172297238,1306.6629206467246,1304.4548440555968,1.5191285328033457,0.26278661568449524,0.989641667421692,0.45697968750986,-0.06552346923180652,0.9799574911697561
SLG-KNX,,,,,,,,,
SLG-CLB,,,,,,,,,
SLG-EQT,,,,,,,,,
SLG-ALE,,,,,,,,,
SLG-APOG,,,,,,,,,
SLG-WABC,1247.7027185480156,1246.836891011695,1242.2057254842505,28.54775746642726,0.33729933064614237,0.8695846021236949,0.33762357177954844,0.2938262467532784,0.5854814771265142
SLG-QRTEA,,,,,,,,,
SLG-SSB,,,,,,,,,
SLG-UHAL,,,,,,,,,
SLG-HRI,,,,,,,,,
SLG-KALU,1925.844394075937,1929.5249099105858,1919.2191168302695,19.305568181263205,0.44929976315842457,0.8049258015785081,0.47697699349197953,0.40669654661402777,0.6038252826572406
SLG-AZZ,,,,,,,,,
SLG-CBSH,,,,,,,,,
SLG-FSLR,,,,,,,,,
SLG-SPR,,,,,,,,,
SLG-KMPR,,,,,,,,,
SLG-THO,1740.941913963431,1741.0444522763441,1744.1727140392873,9.110137282585141,0.28399340550344065,0.99575042875295,0.5737591629884891,0.030048530733117175,0.9972705418459884
SLG-ACHC,,,,,,,,,
SLG-M,,,,,,,,,
SLG-USM,,,,,,,,,
SLG-LTC,,,,,,,,,
SLG-SAFT,,,,,,,,,
SLG-CMC,,,,,,,,,
SLG-MLI,,,,,,,,,
SLG-XRX,,,,,,,,,
SLG-INT,,,,,,,,,
SLG-NHI,,,,,,,,,
SLG-RCII,,,,,,,,,
SLG-DEI,-1108.2740717894837,-1108.47448584526,-1112.0351964052275,3.2729953544440415,0.19280907441927192,0.9263881628752801,0.11495935024403946,0.0776679743866185,0.6946122560138753
SLG-SCL,,,,,,,,,
SLG-WWW,137.6122752880093,137.0943083156992,134.10052165922843,6.889056714559304,0.15641244416980551,0.9294623325868854,0.21429627899565426,0.14347953132194627,0.6980944325528008
SLG-BC,1319.485278296273,1321.1390627057403,1323.1684321709386,-1.1400252731149259,0.3061020775303118,0.9873318488429537,0.418335213903124,0.2052439266349955,0.8069826397907451
SLG-MTG,,,,,,,,,
SLG-SWN,2257.9575834322372,2260.3008207445373,2262.436671416048,31.488287190826895,0.41749392278993247,0.9657977184969073,0.5486946542784084,0.5017822512686329,0.548843915865618
SLG-JWN,,,,,,,,,
SLG-SRCL,,,,,,,,,
SLG-BCO,,,,,,,,,
SLG-CMP,,,,,,,,,
SLG-TOL,,,,,,,,,
SLG-HNI,,,,,,,,,
SLG-MIC,,,,,,,,,
SLG-CORE,,,,,,,,,
SLG-PRGO,,,,,,,,,
SLG-WEN,,,,,,,,,
SLG-TGNA,,,,,,,,,
SLG-MAC,472.8576186941417,474.19310439755907,473.13866906509793,2.415113486624569,0.41215175952408145,0.9471943958850203,0.2524134133974593,0.17170424985164745,0.6894067190502823
SLG-CACI,2363.4000331522743,2370.0999139375385,2369.07572969684,36.74100204323716,0.40475384639208917,0.986820656984505,0.7786999132310849,0.09146123831785519,0.9864807933468377
SLG-EBIX,,,,,,,,,
SLG-RGR,,,,,,,,,
SLG-LAZ,,,,,,,,,
SLG-SFNC,,,,,,,,,
SLG-HLX,932.3115038929519,936.8922817664725,938.097015842575,6.314193594520434,0.2779856453877362,0.9690153644440175,0.3132374435138386,0.22338510947360748,0.6663543610105067
SLG-AUB,,,,,,,,,
SLG-FUL,,,,,,,,,
SLG-TILE,150.45402929362376,154.40904251872655,151.77442746081022,2.5859309715250003,0.18394175233759974,0.9068127870106244,0.20030179910476698,0.16603741073091885,0.6041861263543712
SLG-WNC,-54.35687325501715,-51.3187918408712,-49.19699270742228,-1.3925386674666544,0.12293420036118348,0.9939597880547749,0.23055200816838398,0.04760900140591869,0.9592202044832351
SWM-GCO,,,,,,,,,
SWM-CRS,,,,,,,,,
SWM-SCHN,,,,,,,,,
SWM-AMG,,,,,,,,,
SWM-LANC,,,,,,,,,
SWM-ON,-524.1610117818925,-522.628899114687,-520.9480756486698,5.821706508015602,0.13046880282919066,0.9943509345798623,0.18616698795561357,0.0008091699839999497,0.9999811618787371
SWM-SLG,,,,,,,,,
SWM-TCBI,,,,,,,,,
SWM-PNW,,,,,,,,,
SWM-NWBI,-2014.8767484677783,-2007.6284989834949,-2014.031548883087,3.91302075115013,0.0685682820003253,0.799022795750242,0.06301467251111369,0.06224394338299922,0.532582829387628
SWM-NJR,,,,,,,,,
SWM-GFF,-172.14207639153983,-169.8752871148938,-173.19488493498943,5.417404324790691,0.18689077536856416,0.9898515771814137,0.2164385571802459,-0.04628522871852561,0.9564806457623283
SWM-KOP,2113.9203144855283,2116.9944783537157,2113.618843167209,17.7134730652071,0.541135922426236,0.9890641459014257,0.6792720754480113,-0.1238894915313665,0.9679767691303952
SWM-JNPR,,,,,,,,,
SWM-HA,,,,,,,,,
SWM-CVI,,,,,,,,,
SWM-ISBC,,,,,,,,,
SWM-NXGN,,,,,,,,,
SWM-ASTE,,,,,,,,,
SWM-NYT,-1.8787153018560048,2.7587454195839882,2.4848718319345835,3.598513326665885,0.16037292149671115,0.9904451826391585,0.2412417377456453,0.012158267148249444,0.9974784810973766
SWM-UNM,,,,,,,,,
SWM-ABG,,,,,,,,,
SWM-SPWR,,,,,,,,,
SWM-SYNA,,,,,,,,,
SWM-GIC,,,,,,,,,
SWM-MDC,,,,,,,,,
SWM-AMKR,-884.1064620196164,-884.3084275726113,-882.0253420197338,3.7380620865805625,0.0983771537154439,0.9835667109952928,0.13118023389232028,0.08360481815715,0.7128349360264673
SWM-SKYW,,,,,,,,,
SWM-NSIT,,,,,,,,,
SWM-RUSHA,45.17304803558079,46.7337544998569,42.92985131546095,5.466904631077959,0.2219622614252473,0.9911998024518439,0.23215978881657592,-0.08272338768818915,0.8877794127246698
SWM-BECN,,,,,,,,,
SWM-FHN,,,,,,,,,
SWM-PFS,,,,,,,,,
SWM-ENR,2698.0799321116365,2698.9432033297794,2700.724032199675,38.157779521263116,0.6080546651312515,0.9735090256118731,0.7439001009332055,0.5492658416051159,0.6502145435819302
SWM-RLI,,,,,,,,,
SWM-ACM,,,,,,,,,
SWM-DBD,,,,,,,,,
SWM-SNV,,,,,,,,,
SWM-UFCS,,,,,,,,,
SWM-SBGI,,,,,,,,,
SWM-WW,,,,,,,,,
SWM-SLM,,,,,,,,,
SWM-GBX,,,,,,,,,
SWM-KNX,2125.9747976942103,2143.684037643863,2034.3138850137957,16.87224007131583,0.2151173440743404,0.5118387158549038,0.6040916058186945,0.2750583001127443,0.8645148134280088
SWM-CLB,,,,,,,,,
SWM-EQT,,,,,,,,,
SWM-ALE,,,,,,,,,
SWM-APOG,,,,,,,,,
SWM-WABC,,,,,,,,,
SWM-QRTEA,,,,,,,,,
SWM-SSB,,,,,,,,,
SWM-UHAL,,,,,,,,,
SWM-HRI,,,,,,,,,
SWM-KALU,2199.6194328075667,2201.2792422543835,2194.3531241991477,21.109434625184583,0.5755234339672092,0.8721849701524882,0.573123398717485,0.4337837385680419,0.6509348258929599
SWM-AZZ,,,,,,,,,
SWM-CBSH,,,,,,,,,
SWM-FSLR,5119.458101569995,5119.263310243612,5123.264833838061,145.33068640624958,1.0302698333408415,1.0,2.49937707172845,1.8059947877361768,0.6569788955456216
SWM-SPR,1355.500413305721,1359.0405832420074,1359.8894304813925,11.011443974164989,0.2838186643438409,0.9927451701420207,0.4734750517685049,0.03210996563000346,0.9954383535705048
SWM-KMPR,,,,,,,,,
SWM-THO,,,,,,,,,
SWM-ACHC,,,,,,,,,
SWM-M,,,,,,,,,
SWM-USM,,,,,,,,,
SWM-LTC,,,,,,,,,
SWM-SAFT,,,,,,,,,
SWM-CMC,194.62860397004874,202.29326410423164,200.8265205170742,9.54119841996122,0.18085020759255388,0.9786839460097799,0.2561569594120037,0.07388218030097349,0.9239560228553705
SWM-MLI,,,,,,,,,
SWM-XRX,,,,,,,,,
SWM-INT,2039.5217857782611,2042.269371525108,2041.3749024685042,14.737844910845581,0.4408053846905265,0.9007503584062097,0.47560227598256777,0.4663614216831734,0.5225198822472211
SWM-NHI,,,,,,,,,
SWM-RCII,,,,,,,,,
SWM-DEI,,,,,,,,,
SWM-SCL,,,,,,,,,
SWM-WWW,,,,,,,,,
SWM-BC,,,,,,,,,
SWM-MTG,,,,,,,,,
SWM-SWN,2459.5488717215003,2462.6019262664067,2461.904132745011,33.8776638757241,0.4697325142637842,0.9752035011034926,0.7573564116856594,0.31723214280468565,0.8523151878043513
SWM-JWN,,,,,,,,,
SWM-SRCL,,,,,,,,,
SWM-BCO,,,,,,,,,
SWM-CMP,,,,,,,,,
SWM-TOL,,,,,,,,,
SWM-HNI,,,,,,,,,
SWM-MIC,,,,,,,,,
SWM-CORE,,,,,,,,,
SWM-PRGO,,,,,,,,,
SWM-WEN,,,,,,,,,
SWM-TGNA,,,,,,,,,
SWM-MAC,,,,,,,,,
SWM-CACI,2549.2791716248935,2553.537765344655,2553.375115182639,39.311646265395666,0.45180689811626157,0.988161715081785,0.8494869620046037,0.12977539139908906,0.9773257815828812
SWM-EBIX,,,,,,,,,
SWM-RGR,,,,,,,,,
SWM-LAZ,,,,,,,,,
SWM-SFNC,,,,,,,,,
SWM-HLX,,,,,,,,,
SWM-AUB,,,,,,,,,
SWM-FUL,,,,,,,,,
SWM-TILE,,,,,,,,,
SWM-WNC,,,,,,,,,
TCBI-GCO,,,,,,,,,
TCBI-CRS,2323.365732310178,2325.511944844464,2325.6642913006344,4.688043371327659,0.7347780902940148,0.9341131982043817,0.5713965780612289,0.5121095206306641,0.562813451492639
TCBI-SCHN,,,,,,,,,
TCBI-AMG,,,,,,,,,
TCBI-LANC,,,,,,,,,
TCBI-ON,,,,,,,,,
TCBI-SLG,,,,,,,,,
TCBI-SWM,,,,,,,,,
TCBI-PNW,,,,,,,,,
TCBI-NWBI,,,,,,,,,
TCBI-NJR,,,,,,,,,
TCBI-GFF,,,,,,,,,
TCBI-KOP,,,,,,,,,
TCBI-JNPR,,,,,,,,,
TCBI-HA,,,,,,,,,
TCBI-CVI,,,,,,,,,
TCBI-ISBC,,,,,,,,,
TCBI-NXGN,,,,,,,,,
TCBI-ASTE,,,,,,,,,
TCBI-NYT,,,,,,,,,
TCBI-UNM,,,,,,,,,
TCBI-ABG,,,,,,,,,
TCBI-SPWR,,,,,,,,,
TCBI-SYNA,2300.9567350574957,2308.5979341053194,2311.904668505632,31.83407159696544,0.41434335572393094,0.9937934355037158,0.6488505031919316,0.3996716315879198,0.7255630063967012
TCBI-GIC,,,,,,,,,
TCBI-MDC,765.683605689668,766.7896722195492,767.8285659337773,10.111912902895275,0.27956623425503635,0.9373963853663358,0.25363991606211544,0.24620550750170603,0.5228092146600167
TCBI-AMKR,,,,,,,,,
TCBI-SKYW,,,,,,,,,
TCBI-NSIT,1080.0798683299101,1084.969716595667,1084.63503733505,5.0080433376135725,0.3119999388386294,0.9804148269423426,0.3904175447731559,0.13721507062798075,0.8910173622157954
TCBI-RUSHA,,,,,,,,,
TCBI-BECN,,,,,,,,,
TCBI-FHN,,,,,,,,,
TCBI-PFS,,,,,,,,,
TCBI-ENR,2623.231822137108,2624.973297486068,2627.969380614871,33.474308787646834,0.6656470331830933,0.9945105371678666,0.8540926153521889,0.25669500921840094,0.9173633608169643
TCBI-RLI,,,,,,,,,
TCBI-ACM,,,,,,,,,
TCBI-DBD,,,,,,,,,
TCBI-SNV,,,,,,,,,
TCBI-UFCS,,,,,,,,,
TCBI-SBGI,,,,,,,,,
TCBI-WW,,,,,,,,,
TCBI-SLM,,,,,,,,,
TCBI-GBX,1413.8038446466066,1415.0451943884805,1417.302093433151,-0.10593403490554021,0.3907614764351184,0.9965294130138485,0.4882102512436202,-0.01002848035542753,0.9995789639405301
TCBI-KNX,2111.99874879787,2116.127225226494,2013.073163200279,14.689717050225237,0.25026823890096306,0.5229928336680433,0.5954265839251356,0.27719499586302315,0.858341593394245
TCBI-CLB,3720.6094776604323,3720.394645222386,3724.394791669659,18.238177018162638,1.048401548192166,1.0,1.2767978287942499,0.8596515013773327,0.6880818317181374
TCBI-EQT,,,,,,,,,
TCBI-ALE,,,,,,,,,
TCBI-APOG,,,,,,,,,
TCBI-WABC,,,,,,,,,
TCBI-QRTEA,,,,,,,,,
TCBI-SSB,,,,,,,,,
TCBI-UHAL,,,,,,,,,
TCBI-HRI,,,,,,,,,
TCBI-KALU,2054.927329255593,2062.5020230522928,2056.3764069877952,16.198213361423534,0.6633916946642144,0.8601449169889546,0.5148233578742181,0.43048790472341864,0.6059457864628024
TCBI-AZZ,,,,,,,,,
TCBI-CBSH,,,,,,,,,
TCBI-FSLR,,,,,,,,,
TCBI-SPR,1278.9624876027026,1279.5128846639911,1281.019444046802,8.534813699824088,0.32751885929018026,0.9965867709095027,0.4462992855563035,-0.09501798300880111,0.9567090318209758
TCBI-KMPR,,,,,,,,,
TCBI-THO,,,,,,,,,
TCBI-ACHC,,,,,,,,,
TCBI-M,,,,,,,,,
TCBI-USM,,,,,,,,,
TCBI-LTC,,,,,,,,,
TCBI-SAFT,,,,,,,,,
TCBI-CMC,126.1370975727092,127.280272284062,127.1459533143759,8.172615847731604,0.19712708430053844,0.9454051541722599,0.20167433926561013,0.15930493155858066,0.6223053915757899
TCBI-MLI,274.88756706629226,280.09101922853165,280.73959401270986,3.8756910405426606,0.2880358446124206,0.9828522838502018,0.2566855642043063,0.10521329078888164,0.8572133481621352
TCBI-XRX,,,,,,,,,
TCBI-INT,,,,,,,,,
TCBI-NHI,,,,,,,,,
TCBI-RCII,,,,,,,,,
TCBI-DEI,,,,,,,,,
TCBI-SCL,,,,,,,,,
TCBI-WWW,,,,,,,,,
TCBI-BC,,,,,,,,,
TCBI-MTG,,,,,,,,,
TCBI-SWN,2414.185070862297,2414.3061105250763,2416.3175452332393,30.46039109527579,0.4997148833015943,0.9584174272453594,0.5760536463381751,0.5590059627363695,0.5202618413110282
TCBI-JWN,,,,,,,,,
TCBI-SRCL,,,,,,,,,
TCBI-BCO,,,,,,,,,
TCBI-CMP,,,,,,,,,
TCBI-TOL,1367.0810381443498,1371.4297052539864,1367.6715493023194,10.516380617678852,0.37142306734166286,0.9432122537495393,0.41711046194455514,0.23017190951657573,0.7716856759855004
TCBI-HNI,,,,,,,,,
TCBI-MIC,,,,,,,,,
TCBI-CORE,,,,,,,,,
TCBI-PRGO,,,,,,,,,
TCBI-WEN,,,,,,,,,
TCBI-TGNA,,,,,,,,,
TCBI-MAC,,,,,,,,,
TCBI-CACI,,,,,,,,,
TCBI-EBIX,,,,,,,,,
TCBI-RGR,,,,,,,,,
TCBI-LAZ,,,,,,,,,
TCBI-SFNC,,,,,,,,,
TCBI-HLX,1049.9643992342278,1054.393827344254,1050.2525886100202,4.303350216176532,0.42322547745377775,0.987188431696997,0.40342929850579917,-0.05233439111910328,0.983554504332845
TCBI-AUB,,,,,,,,,
TCBI-FUL,,,,,,,,,
TCBI-TILE,,,,,,,,,
TCBI-WNC,,,,,,,,,
PNW-GCO,,,,,,,,,
PNW-CRS,2340.5463657076652,2341.7157427930288,2341.9632797170552,-8.49609373129136,1.3747978708728472,0.9955612274300459,0.7352025718769157,-0.24052752431991825,0.9035097498610588
PNW-SCHN,,,,,,,,,
PNW-AMG,3785.750548931352,3787.401606893034,3784.8483848248184,-7.460394625708005,3.355171525037012,0.9921119312234752,1.4739472073028728,-0.5849978542688437,0.8643774627899022
PNW-LANC,,,,,,,,,
PNW-ON,,,,,,,,,
PNW-SLG,,,,,,,,,
PNW-SWM,,,,,,,,,
PNW-TCBI,,,,,,,,,
PNW-NWBI,,,,,,,,,
PNW-NJR,,,,,,,,,
PNW-GFF,,,,,,,,,
PNW-KOP,2015.7988267869932,2019.00418534562,2020.4377495666279,2.532413911702111,1.1005188658862048,0.9889357970148265,0.6277643170083839,0.20113289349532631,0.9073706829083433
PNW-JNPR,,,,,,,,,
PNW-HA,,,,,,,,,
PNW-CVI,,,,,,,,,
PNW-ISBC,,,,,,,,,
PNW-NXGN,,,,,,,,,
PNW-ASTE,,,,,,,,,
PNW-NYT,,,,,,,,,
PNW-UNM,,,,,,,,,
PNW-ABG,,,,,,,,,
PNW-SPWR,,,,,,,,,
PNW-SYNA,2316.763536785761,2330.1153323188582,2333.419810643936,25.6539730138034,0.6905893869743205,0.9893754089005656,0.5939443156179972,0.49044999401788614,0.5958615795290355
PNW-GIC,,,,,,,,,
PNW-MDC,,,,,,,,,
PNW-AMKR,,,,,,,,,
PNW-SKYW,,,,,,,,,
PNW-NSIT,,,,,,,,,
PNW-RUSHA,-0.04207858972131362,3.433733766863952,3.327091858227277,0.38410505218020763,0.383740696407443,0.9914484143498189,0.2416490551826076,-0.0002203306321005915,0.999999172213644
PNW-BECN,,,,,,,,,
PNW-FHN,,,,,,,,,
PNW-PFS,,,,,,,,,
PNW-ENR,2608.489247740415,2612.310770547456,2607.858836358593,20.284587642209395,1.3866791855074805,0.9856092213271507,0.8636154284147078,-0.18378612989692522,0.9569723283394266
PNW-RLI,,,,,,,,,
PNW-ACM,,,,,,,,,
PNW-DBD,,,,,,,,,
PNW-SNV,1329.5592165073554,1331.8250625367928,1334.8951518871158,6.824673537994501,0.49349106612585386,0.9859030551842588,0.36181013216776436,0.2979450519862596,0.5976046675289747
PNW-UFCS,,,,,,,,,
PNW-SBGI,,,,,,,,,
PNW-WW,,,,,,,,,
PNW-SLM,,,,,,,,,
PNW-GBX,,,,,,,,,
PNW-KNX,,,,,,,,,
PNW-CLB,3724.6643626628456,3723.803851410221,3726.715896069503,-1.048701769615775,1.9632137833638437,0.9836810381520843,1.2173126058734107,0.9442243607613791,0.6262744963782512
PNW-EQT,1335.9795488999173,1337.6309151547898,1328.7085120069248,1.646335777522319,0.8980280721643419,0.9892492736987776,0.37021060310591114,-0.28508715937452417,0.629003462836199
PNW-ALE,,,,,,,,,
PNW-APOG,,,,,,,,,
PNW-WABC,,,,,,,,,
PNW-QRTEA,,,,,,,,,
PNW-SSB,,,,,,,,,
PNW-UHAL,,,,,,,,,
PNW-HRI,,,,,,,,,
PNW-KALU,2055.321033755702,2066.707963273604,2061.6712851018833,3.704928288923739,1.2225835861787395,0.9755793207865794,0.6669257134084474,0.08917404075364872,0.9826466305147986
PNW-AZZ,,,,,,,,,
PNW-CBSH,,,,,,,,,
PNW-FSLR,,,,,,,,,
PNW-SPR,1297.0737990977264,1297.414500439515,1296.3371834620798,3.0160151291214916,0.5913458308034273,0.994472209415464,0.4292986054734575,-0.16465698000998946,0.87206530499807
PNW-KMPR,,,,,,,,,
