,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
AMG-THO,,,,,,,,,
AMG-ACHC,,,,,,,,,
AMG-M,,,,,,,,,
AMG-USM,,,,,,,,,
AMG-LTC,,,,,,,,,
AMG-SAFT,,,,,,,,,
AMG-CMC,-84.42225953380228,-85.24768798646369,-92.2287826404596,6.553506968533795,0.08405436660647342,0.9075415355081364,0.1954259416847895,0.12209274622064713,0.7287189904050434
AMG-MLI,116.46163792570519,118.86309229859705,118.57917138649134,2.5637366027117316,0.10286073681481807,0.9510918328364686,0.20747146772652478,0.14981847682662822,0.6628223108092661
AMG-XRX,,,,,,,,,
AMG-INT,1770.9273393369658,1773.2208768647693,1769.916110699423,7.4869808984296,0.20306980103737882,0.8770857965998891,0.4291220872083794,0.39309244882712774,0.5594228355422788
AMG-NHI,,,,,,,,,
AMG-RCII,,,,,,,,,
AMG-DEI,,,,,,,,,
AMG-SCL,,,,,,,,,
AMG-WWW,,,,,,,,,
AMG-BC,,,,,,,,,
AMG-MTG,,,,,,,,,
AMG-SWN,,,,,,,,,
AMG-JWN,,,,,,,,,
AMG-SRCL,,,,,,,,,
AMG-BCO,,,,,,,,,
AMG-CMP,,,,,,,,,
AMG-TOL,,,,,,,,,
AMG-HNI,1157.503520596559,1161.8968145859856,1156.2133536655988,3.165580604996107,0.16302703139550156,0.8661957402048551,0.32858248821990677,0.2755527027729964,0.6037854809916111
AMG-MIC,,,,,,,,,
AMG-CORE,,,,,,,,,
AMG-PRGO,,,,,,,,,
AMG-WEN,-2526.2652091486816,-2518.5958229292432,-2525.57169445668,2.2034366069652824,0.018019854853025638,0.9808844751034537,0.06851747621169703,-0.0045905905442038325,0.9955737393437696
AMG-TGNA,,,,,,,,,
AMG-MAC,,,,,,,,,
AMG-CACI,2253.8869702870716,2256.5253255479383,2252.4714738212197,29.17578292210355,0.2566361770262518,0.9894029043958614,0.7189873406649233,-0.17450961306379212,0.9446449096117718
AMG-EBIX,,,,,,,,,
AMG-RGR,,,,,,,,,
AMG-LAZ,,,,,,,,,
AMG-SFNC,-1004.2902024856132,-1005.150718022437,-1012.5852674073142,6.706148260822607,0.055836965853921686,0.8289735014871762,0.10943342658805,0.09630367978271438,0.5854074854261637
AMG-HLX,,,,,,,,,
AMG-AUB,,,,,,,,,
AMG-FUL,,,,,,,,,
AMG-TILE,,,,,,,,,
AMG-WNC,,,,,,,,,
LANC-GCO,,,,,,,,,
LANC-CRS,2350.4666188772903,2353.104472883621,2352.469338217351,-4.9849425674505135,0.6459089307252611,0.9511564299077564,0.6375310167403679,0.4452174619164258,0.6776089538100326
LANC-SCHN,,,,,,,,,
LANC-AMG,,,,,,,,,
LANC-ON,,,,,,,,,
LANC-SLG,,,,,,,,,
LANC-SWM,,,,,,,,,
LANC-TCBI,,,,,,,,,
