,m1,m2,n,BIC,$\delta_0$,$\delta_1$,$\delta_2$,Spread SD,SD($\delta_0$),SD($\delta_1$),SD($\delta_2$),num_conv
CRS-HLF,1.0,1.0,2.0,-4857.741094358538,1.6476812209594665,-8.661415782200578,7.980419125133389,0.15980398960271275,0.20337366806934168,0.376451064090895,0.13661931184097803,8
CRS-SHOO,1.0,1.0,2.0,-5271.616761121913,-2.1727299248563887,-4.87282876868479,7.498000472357409,0.18223832792899422,0.15781204154060352,0.12649337440990358,0.14809937990942634,9
CRS-PAG,1.0,1.0,2.0,-4885.292748524357,-1.948750245318088,-16.0776739093699,18.08468209788171,0.17900823617201778,1.215342315911812,5.788957122392778,5.0003349624045255,9
CRS-SITC,1.0,1.0,2.0,-4842.019152287388,-2.097730934562067,-3.709535735773373,5.825903120052033,0.1827007787806496,0.004306878361345073,0.008509505473211708,0.022928029158515297,10
CRS-NYT,2.0,2.0,2.0,-5303.102133299397,2.3304506159387963,-6.63330132970231,5.7349005480362925,0.17709443262826216,0.0650164942222172,0.1646236502726463,0.18711078135923126,8
CRS-LZB,1.0,1.0,2.0,-5030.683755069501,-1.9220003937929038,-9.313039030216238,10.906508888478182,0.18255256567053382,0.32253657217492876,1.9042712109077633,1.6232751076310552,9
CRS-AEL,1.0,2.0,2.0,-4952.6484722897785,-1.4455011612573283,-10.368181216095842,13.054550672645627,0.1791793789087305,0.41391866017832896,1.5242688417240897,1.6276649815173103,9
CRS-MOS,2.0,2.0,2.0,-5365.537957962011,1.6302557532797142,-10.568962750470806,14.918170033604659,0.17447146731702895,0.0010449361383737675,0.005960293186592361,0.006244702832794153,10
CRS-PLXS,2.0,2.0,2.0,-5529.259077518042,,,,0.18209800114211772,,,,0
CRS-SAH,1.0,1.0,1.0,-5233.952296188555,-1.4644743165300795,4.908846207076407,0.0,0.1819993963259775,1.022126906293142,0.6886024356651542,inf,8
SAFT-PFS,2.0,1.0,1.0,-5589.441957896603,-2.670964217353175,10.729352429445232,0.0,0.08031820580998551,0.17534508863999038,0.12229253136843836,inf,8
SAFT-CVBF,1.0,1.0,1.0,-5447.289757178553,-1.2653648966836735,8.583919398247149,0.0,0.07672136595184376,0.39219387611273676,0.6247241205798635,inf,9
SAFT-HNI,2.0,1.0,2.0,-5769.085187568516,-2.578575161476953,44.27184404472713,-35.22425351440714,0.060423871925203314,0.006229255584319367,0.1691511678446516,0.1530650078695855,10
SAFT-LZB,2.0,2.0,1.0,-5184.815653468013,-1.4409019399565557,5.909501110781414,0.0,0.08574581616617681,0.45718717736248343,0.9733661828428634,inf,9
SAFT-WTM,2.0,2.0,1.0,-5097.613485470028,-0.8727257368845747,10.180199191876541,0.0,0.09170563890869995,0.6438109491653122,0.3732308323113053,inf,10
SAFT-ISBC,1.0,1.0,1.0,-4982.861581644793,-0.568616461041482,7.945941500893565,0.0,0.07018940225946904,0.13110418858033637,0.0026369797434487438,inf,4
SAFT-WMK,2.0,2.0,1.0,-5156.273331641989,-1.0205082578395785,9.741967264953908,0.0,0.11952361422094365,1.3662705328960716,2.1230333143196924,inf,8
SKT-AROC,1.0,2.0,2.0,-5603.947020829878,-1.9444194233257337,82.13753036953453,-73.242428403667,0.0563024697846861,1.0156523257752392,25.017515597779262,24.03630100620607,9
SKT-HBI,1.0,2.0,1.0,-5695.991315179698,-1.1871128826177528,9.06217582769716,0.0,0.05279966658724747,0.4710684710808052,3.0371352417484547,inf,7
SKT-NWL,2.0,1.0,1.0,-5743.063430245831,-2.076940248027965,11.388306487198475,0.0,0.05368745413537979,0.5007943650309132,2.608683645914262,inf,8
SKT-NFG,2.0,2.0,1.0,-6127.613768582211,-1.981646737775305,14.843296634793644,0.0,0.056234878287852244,0.4128035496360483,4.620444161083454,inf,10
SKT-AIN,2.0,2.0,2.0,-5677.177106388956,-1.8560100082270943,93.54053191508085,-86.27609222211093,0.05551867437903186,0.05648175834117088,1.108871212779728,0.9279641114543874,9
SKT-BRO,1.0,1.0,2.0,-5739.115727285172,-2.2210246276696437,110.87282949651302,-100.13795631930795,0.056178674536736466,0.1312262155309375,2.2392101969352765,1.8601620012629634,7
